price,buy_vol,sell_vol,total_vol,trades,delta,dominant
4046.2,67,30,97,66,37,buy
4046.1,19,32,52,40,-13,sell
4046.0,71,59,131,81,12,buy
4045.9,50,39,89,64,11,buy
4045.8,25,25,50,38,0,flat
4045.7,19,23,42,36,-4,sell
4045.6,22,30,52,40,-8,sell
4045.5,28,68,98,52,-40,sell
4045.4,37,32,69,42,5,buy
4045.3,52,20,72,63,32,buy
4045.2,45,33,79,62,12,buy
4045.1,25,23,51,46,2,buy
4045.0,38,35,73,52,3,buy
4044.9,22,28,50,45,-6,sell
4044.8,18,38,56,45,-20,sell
4044.7,72,30,103,71,42,buy
4044.6,31,38,70,58,-7,sell
4044.5,34,45,81,61,-11,sell
4044.4,79,44,123,90,35,buy
4044.3,46,25,71,56,21,buy
4044.2,64,49,114,76,15,buy
4044.1,81,40,123,99,41,buy
4044.0,52,40,92,67,12,buy
4043.9,26,27,55,45,-1,sell
4043.8,46,59,106,73,-13,sell
4043.7,34,31,65,47,3,buy
4043.6,26,17,43,37,9,buy
4043.5,122,33,157,90,89,buy
4043.4,25,29,56,41,-4,sell
4043.3,36,49,85,60,-13,sell
4043.2,98,38,140,54,60,buy
4043.1,50,54,104,61,-4,sell
4043.0,61,34,96,59,27,buy
4042.9,23,30,55,37,-7,sell
4042.8,61,30,91,54,31,buy
4042.7,41,33,78,57,8,buy
4042.6,42,30,74,59,12,buy
4042.5,51,54,105,80,-3,sell
4042.4,33,35,68,55,-2,sell
4042.3,30,35,66,54,-5,sell
4042.2,29,27,57,45,2,buy
4042.1,26,27,54,46,-1,sell
4042.0,102,48,150,89,54,buy
4041.9,33,34,67,50,-1,sell
4041.8,68,47,120,87,21,buy
4041.7,72,56,130,97,16,buy
4041.6,59,96,155,106,-37,sell
4041.5,99,63,163,107,36,buy
4041.4,66,77,147,105,-11,sell
4041.3,72,66,141,92,6,buy
4041.2,84,86,172,128,-2,sell
4041.1,53,63,121,104,-10,sell
4041.0,81,96,181,123,-15,sell
4040.9,69,59,135,102,10,buy
4040.8,106,62,169,122,44,buy
4040.7,97,59,160,126,38,buy
4040.6,136,81,222,175,55,buy
4040.5,102,141,255,180,-39,sell
4040.4,81,159,248,165,-78,sell
4040.3,73,99,177,139,-26,sell
4040.2,99,77,180,140,22,buy
4040.1,83,61,150,128,22,buy
4040.0,130,140,274,164,-10,sell
4039.9,197,97,298,186,100,buy
4039.8,97,100,201,157,-3,sell
4039.7,95,86,183,135,9,buy
4039.6,95,104,202,147,-9,sell
4039.5,137,102,249,192,35,buy
4039.4,102,86,189,148,16,buy
4039.3,116,136,258,186,-20,sell
4039.2,142,147,295,189,-5,sell
4039.1,158,142,305,196,16,buy
4039.0,160,173,334,228,-13,sell
4038.9,130,133,264,173,-3,sell
4038.8,132,117,254,178,15,buy
4038.7,108,93,202,157,15,buy
4038.6,141,149,293,212,-8,sell
4038.5,195,154,352,250,41,buy
4038.4,143,147,296,216,-4,sell
4038.3,162,146,311,201,16,buy
4038.2,206,152,362,246,54,buy
4038.1,152,132,285,210,20,buy
4038.0,150,212,366,257,-62,sell
4037.9,211,112,327,244,99,buy
4037.8,171,158,332,230,13,buy
4037.7,136,124,263,192,12,buy
4037.6,132,136,273,175,-4,sell
4037.5,130,167,301,209,-37,sell
4037.4,112,113,229,166,-1,sell
4037.3,121,106,232,180,15,buy
4037.2,105,141,253,177,-36,sell
4037.1,126,98,228,173,28,buy
4037.0,188,168,358,223,20,buy
4036.9,134,164,300,223,-30,sell
4036.8,113,142,259,195,-29,sell
4036.7,121,139,260,185,-18,sell
4036.6,168,110,280,198,58,buy
4036.5,132,155,287,197,-23,sell
4036.4,160,179,342,215,-19,sell
4036.3,131,156,288,200,-25,sell
4036.2,92,108,202,147,-16,sell
4036.1,83,106,189,150,-23,sell
4036.0,105,165,270,201,-60,sell
4035.9,78,129,209,150,-51,sell
4035.8,124,101,227,160,23,buy
4035.7,143,117,260,171,26,buy
4035.6,123,140,268,178,-17,sell
4035.5,113,101,217,159,12,buy
4035.4,98,82,187,141,16,buy
4035.3,85,108,194,144,-23,sell
4035.2,90,121,213,155,-31,sell
4035.1,136,130,268,184,6,buy
4035.0,164,275,441,265,-111,sell
4034.9,126,118,244,172,8,buy
4034.8,143,109,259,192,34,buy
4034.7,202,138,347,210,64,buy
4034.6,154,145,301,201,9,buy
4034.5,129,156,287,224,-27,sell
4034.4,118,100,225,178,18,buy
4034.3,118,119,242,170,-1,sell
4034.2,127,111,244,165,16,buy
4034.1,102,111,220,167,-9,sell
4034.0,117,142,267,168,-25,sell
4033.9,121,112,241,163,9,buy
4033.8,153,123,281,194,30,buy
4033.7,171,97,276,207,74,buy
4033.6,129,148,282,206,-19,sell
4033.5,121,132,257,186,-11,sell
4033.4,142,159,307,202,-17,sell
4033.3,120,146,271,190,-26,sell
4033.2,157,137,294,214,20,buy
4033.1,147,133,282,199,14,buy
4033.0,164,161,332,201,3,buy
4032.9,148,118,276,208,30,buy
4032.8,110,91,203,143,19,buy
4032.7,100,116,222,163,-16,sell
4032.6,149,109,260,173,40,buy
4032.5,104,81,195,152,23,buy
4032.4,79,126,213,142,-47,sell
4032.3,96,77,183,139,19,buy
4032.2,66,78,150,119,-12,sell
4032.1,77,124,204,156,-47,sell
4032.0,340,138,485,209,202,buy
4031.9,92,102,194,135,-10,sell
4031.8,66,89,161,127,-23,sell
4031.7,83,77,163,116,6,buy
4031.6,67,101,171,127,-34,sell
4031.5,97,80,178,133,17,buy
4031.4,68,73,143,116,-5,sell
4031.3,56,53,111,94,3,buy
4031.2,56,93,153,132,-37,sell
4031.1,62,112,177,109,-50,sell
4031.0,112,135,248,171,-23,sell
4030.9,94,68,162,129,26,buy
4030.8,84,79,163,133,5,buy
4030.7,113,60,174,128,53,buy
4030.6,79,93,173,126,-14,sell
4030.5,99,90,197,143,9,buy
4030.4,105,82,188,115,23,buy
4030.3,109,71,183,110,38,buy
4030.2,100,63,163,101,37,buy
4030.1,64,61,125,85,3,buy
4030.0,105,115,221,131,-10,sell
4029.9,55,54,109,90,1,buy
4029.8,76,71,148,99,5,buy
4029.7,54,42,96,75,12,buy
4029.6,102,53,161,114,49,buy
4029.5,121,106,232,154,15,buy
4029.4,121,63,187,133,58,buy
4029.3,77,53,130,104,24,buy
4029.2,70,41,112,84,29,buy
4029.1,74,67,144,121,7,buy
4029.0,84,96,180,124,-12,sell
4028.9,75,54,131,92,21,buy
4028.8,46,53,104,72,-7,sell
4028.7,41,71,113,81,-30,sell
4028.6,77,44,123,74,33,buy
4028.5,47,53,100,78,-6,sell
4028.4,86,58,147,112,28,buy
4028.3,44,45,91,74,-1,sell
4028.2,32,40,74,59,-8,sell
4028.1,44,30,79,53,14,buy
4028.0,39,61,102,65,-22,sell
4027.9,21,28,51,42,-7,sell
4027.8,21,20,48,38,1,buy
4027.7,24,22,47,40,2,buy
4027.6,24,32,58,50,-8,sell
4027.5,29,29,58,43,0,flat
4027.4,60,27,88,51,33,buy
4027.3,34,45,79,53,-11,sell
4027.2,67,33,101,52,34,buy
4027.1,41,20,63,47,21,buy
4027.0,26,47,74,50,-21,sell
4026.9,10,10,20,19,0,flat
4026.8,15,12,27,23,3,buy
4026.7,14,13,27,24,1,buy
4026.6,23,25,49,33,-2,sell
4026.5,11,25,37,27,-14,sell
4026.4,15,14,29,24,1,buy
4026.3,18,14,32,26,4,buy
4026.2,25,5,31,24,20,buy
4026.1,12,21,33,26,-9,sell
4026.0,55,32,87,44,23,buy
4025.9,12,15,28,25,-3,sell
4025.8,16,26,44,36,-10,sell
4025.7,45,25,71,39,20,buy
4025.6,23,26,49,35,-3,sell
4025.5,22,19,41,33,3,buy
4025.4,226,30,258,87,196,buy
4025.3,17,22,42,30,-5,sell
4025.2,18,25,43,33,-7,sell
4025.1,18,23,41,30,-5,sell
4025.0,38,53,91,35,-15,sell
4024.9,15,21,36,25,-6,sell
4024.8,14,18,32,23,-4,sell
4024.7,11,31,43,24,-20,sell
4024.6,20,21,42,32,-1,sell
4024.5,8,14,22,19,-6,sell
4024.4,19,16,35,24,3,buy
4024.3,9,4,14,13,5,buy
4024.2,10,4,15,14,6,buy
4024.1,60,11,72,23,49,buy
4024.0,30,16,47,37,14,buy
4023.9,15,19,34,25,-4,sell
4023.8,11,21,32,21,-10,sell
4023.7,14,18,32,20,-4,sell
4023.6,24,17,41,23,7,buy
4023.5,20,17,37,25,3,buy
4023.4,18,16,34,25,2,buy
4023.3,23,7,30,17,16,buy
4023.2,56,17,74,43,39,buy
4023.1,54,35,90,57,19,buy
4023.0,41,17,59,34,24,buy
4022.9,24,15,40,32,9,buy
4022.8,17,33,52,40,-16,sell
4022.7,10,48,59,33,-38,sell
4022.6,23,21,46,36,2,buy
4022.5,21,39,63,38,-18,sell
4022.4,10,43,57,27,-33,sell
4022.3,9,17,26,17,-8,sell
4022.2,16,22,38,29,-6,sell
4022.1,30,24,55,35,6,buy
4022.0,18,41,59,28,-23,sell
4021.9,55,32,88,58,23,buy
4021.8,29,34,63,37,-5,sell
4021.7,25,13,38,25,12,buy
4021.6,27,27,54,40,0,flat
4021.5,29,23,53,39,6,buy
4021.4,33,17,50,43,16,buy
4021.3,35,19,54,37,16,buy
4021.2,28,66,97,58,-38,sell
4021.1,21,137,161,42,-116,sell
4021.0,75,78,157,79,-3,sell
4020.9,24,26,51,36,-2,sell
4020.8,33,40,75,51,-7,sell
4020.7,26,29,55,43,-3,sell
4020.6,24,21,48,43,3,buy
4020.5,30,57,88,48,-27,sell
4020.4,37,25,65,48,12,buy
4020.3,33,38,74,50,-5,sell
4020.2,30,53,86,62,-23,sell
4020.1,246,32,282,109,214,buy
4020.0,112,89,214,119,23,buy
4019.9,84,36,120,71,48,buy
4019.8,39,36,76,55,3,buy
4019.7,38,43,81,61,-5,sell
4019.6,35,31,67,43,4,buy
4019.5,23,26,49,41,-3,sell
4019.4,35,18,54,38,17,buy
4019.3,9,13,24,22,-4,sell
4019.2,16,22,39,32,-6,sell
4019.1,29,23,52,30,6,buy
4019.0,45,17,68,42,28,buy
4018.9,18,31,49,38,-13,sell
4018.8,23,24,47,32,-1,sell
4018.7,20,26,46,36,-6,sell
4018.6,13,49,63,45,-36,sell
4018.5,38,27,66,43,11,buy
4018.4,23,26,50,36,-3,sell
4018.3,82,37,120,72,45,buy
4018.2,43,44,89,62,-1,sell
4018.1,42,26,69,50,16,buy
4018.0,54,65,124,77,-11,sell
4017.9,24,41,67,53,-17,sell
4017.8,43,43,86,57,0,flat
4017.7,26,42,69,55,-16,sell
4017.6,71,67,139,73,4,buy
4017.5,76,41,117,66,35,buy
4017.4,40,32,74,60,8,buy
4017.3,36,39,75,57,-3,sell
4017.2,34,48,83,64,-14,sell
4017.1,43,52,95,68,-9,sell
4017.0,77,52,129,76,25,buy
4016.9,22,39,63,48,-17,sell
4016.8,31,52,83,56,-21,sell
4016.7,17,40,62,39,-23,sell
4016.6,33,36,74,55,-3,sell
4016.5,25,33,64,48,-8,sell
4016.4,28,33,69,56,-5,sell
4016.3,44,40,89,49,4,buy
4016.2,34,45,83,45,-11,sell
4016.1,24,39,63,46,-15,sell
4016.0,87,47,136,69,40,buy
4015.9,34,22,57,43,12,buy
4015.8,31,39,70,47,-8,sell
4015.7,27,45,73,46,-18,sell
4015.6,32,41,76,57,-9,sell
4015.5,28,38,69,48,-10,sell
4015.4,35,15,52,33,20,buy
4015.3,29,47,76,47,-18,sell
4015.2,25,29,54,41,-4,sell
4015.1,33,46,82,50,-13,sell
4015.0,105,75,182,71,30,buy
4014.9,36,23,61,47,13,buy
4014.8,16,51,67,50,-35,sell
4014.7,73,56,129,52,17,buy
4014.6,47,37,84,62,10,buy
4014.5,32,30,65,55,2,buy
4014.4,28,28,59,46,0,flat
4014.3,44,26,70,55,18,buy
4014.2,30,31,62,49,-1,sell
4014.1,37,27,65,57,10,buy
4014.0,47,51,99,62,-4,sell
4013.9,15,37,53,33,-22,sell
4013.8,27,29,58,46,-2,sell
4013.7,44,28,74,56,16,buy
4013.6,34,27,66,49,7,buy
4013.5,34,42,80,54,-8,sell
4013.4,32,60,93,60,-28,sell
4013.3,37,23,61,51,14,buy
4013.2,30,42,73,57,-12,sell
4013.1,36,33,71,60,3,buy
4013.0,87,38,128,80,49,buy
4012.9,38,31,70,56,7,buy
4012.8,31,46,77,51,-15,sell
4012.7,25,25,51,39,0,flat
4012.6,96,22,121,89,74,buy
4012.5,20,22,44,32,-2,sell
4012.4,33,22,55,50,11,buy
4012.3,36,43,81,67,-7,sell
4012.2,18,26,48,38,-8,sell
4012.1,23,16,45,36,7,buy
4012.0,104,52,160,75,52,buy
4011.9,34,11,51,40,23,buy
4011.8,31,31,63,40,0,flat
4011.7,33,35,68,54,-2,sell
4011.6,24,22,50,45,2,buy
4011.5,38,34,74,54,4,buy
4011.4,67,42,114,67,25,buy
4011.3,25,30,57,48,-5,sell
4011.2,46,73,128,89,-27,sell
4011.1,22,126,154,48,-104,sell
4011.0,53,77,135,97,-24,sell
4010.9,26,25,52,46,1,buy
4010.8,30,34,64,53,-4,sell
4010.7,14,30,46,38,-16,sell
4010.6,13,18,33,23,-5,sell
4010.5,12,25,43,31,-13,sell
4010.4,21,11,36,28,10,buy
4010.3,40,18,65,46,22,buy
4010.2,20,5,26,20,15,buy
4010.1,17,12,32,30,5,buy
4010.0,90,42,133,53,48,buy
4009.9,53,22,75,51,31,buy
4009.8,78,32,111,68,46,buy
4009.7,49,29,81,54,20,buy
4009.6,48,46,94,69,2,buy
4009.5,25,31,58,47,-6,sell
4009.4,40,27,68,50,13,buy
4009.3,43,38,81,59,5,buy
4009.2,46,23,69,53,23,buy
4009.1,30,34,65,50,-4,sell
4009.0,80,88,169,97,-8,sell
4008.9,65,50,117,89,15,buy
4008.8,67,48,118,86,19,buy
4008.7,46,42,91,74,4,buy
4008.6,53,43,97,79,10,buy
4008.5,76,92,173,112,-16,sell
4008.4,92,58,151,101,34,buy
4008.3,77,49,130,94,28,buy
4008.2,85,152,239,167,-67,sell
4008.1,121,190,312,142,-69,sell
4008.0,132,156,289,159,-24,sell
4007.9,74,59,136,103,15,buy
4007.8,126,53,182,128,73,buy
4007.7,84,78,163,119,6,buy
4007.6,95,72,170,121,23,buy
4007.5,139,109,249,142,30,buy
4007.4,80,66,147,99,14,buy
4007.3,92,94,190,126,-2,sell
4007.2,80,81,161,100,-1,sell
4007.1,60,66,126,85,-6,sell
4007.0,86,114,202,103,-28,sell
4006.9,65,73,140,98,-8,sell
4006.8,65,46,111,81,19,buy
4006.7,67,52,120,90,15,buy
4006.6,68,50,123,90,18,buy
4006.5,101,67,171,106,34,buy
4006.4,82,58,142,107,24,buy
4006.3,124,95,222,122,29,buy
4006.2,60,65,130,106,-5,sell
4006.1,123,57,184,113,66,buy
4006.0,150,139,292,174,11,buy
4005.9,73,67,142,94,6,buy
4005.8,78,51,129,95,27,buy
4005.7,81,67,151,103,14,buy
4005.6,89,60,150,92,29,buy
4005.5,72,61,135,85,11,buy
4005.4,97,47,147,109,50,buy
4005.3,84,62,150,100,22,buy
4005.2,75,87,164,124,-12,sell
4005.1,86,84,172,133,2,buy
4005.0,215,106,327,165,109,buy
4004.9,106,58,168,135,48,buy
4004.8,73,78,157,112,-5,sell
4004.7,106,95,205,138,11,buy
4004.6,86,91,179,123,-5,sell
4004.5,69,92,163,120,-23,sell
4004.4,71,66,138,100,5,buy
4004.3,70,78,155,119,-8,sell
4004.2,61,60,125,89,1,buy
4004.1,66,71,142,102,-5,sell
4004.0,90,73,166,119,17,buy
4003.9,65,62,130,108,3,buy
4003.8,67,65,135,108,2,buy
4003.7,83,100,189,129,-17,sell
4003.6,72,67,144,111,5,buy
4003.5,57,88,147,97,-31,sell
4003.4,55,107,165,115,-52,sell
4003.3,63,65,129,100,-2,sell
4003.2,88,46,134,96,42,buy
4003.1,94,88,185,115,6,buy
4003.0,61,107,168,117,-46,sell
4002.9,75,94,169,125,-19,sell
4002.8,42,52,94,71,-10,sell
4002.7,54,86,141,106,-32,sell
4002.6,85,69,155,104,16,buy
4002.5,71,49,125,94,22,buy
4002.4,58,51,109,76,7,buy
4002.3,42,69,118,82,-27,sell
4002.2,59,37,99,70,22,buy
4002.1,41,50,91,67,-9,sell
4002.0,77,66,143,90,11,buy
4001.9,43,33,76,52,10,buy
4001.8,55,41,98,71,14,buy
4001.7,85,43,133,85,42,buy
4001.6,54,64,120,87,-10,sell
4001.5,56,68,127,92,-12,sell
4001.4,59,51,110,72,8,buy
4001.3,56,64,120,88,-8,sell
4001.2,59,52,113,80,7,buy
4001.1,73,52,128,98,21,buy
4001.0,73,145,220,121,-72,sell
4000.9,60,96,161,103,-36,sell
4000.8,82,98,182,129,-16,sell
4000.7,63,57,122,87,6,buy
4000.6,74,71,145,103,3,buy
4000.5,82,116,199,112,-34,sell
4000.4,83,105,189,111,-22,sell
4000.3,93,63,157,126,30,buy
4000.2,96,86,187,123,10,buy
4000.1,71,111,185,137,-40,sell
4000.0,266,221,489,226,45,buy
3999.9,173,99,273,178,74,buy
3999.8,100,114,222,159,-14,sell
3999.7,95,84,186,141,11,buy
3999.6,121,99,226,164,22,buy
3999.5,165,95,265,164,70,buy
3999.4,69,75,149,110,-6,sell
3999.3,106,70,181,126,36,buy
3999.2,95,94,199,148,1,buy
3999.1,110,117,235,168,-7,sell
3999.0,118,155,280,180,-37,sell
3998.9,134,119,259,184,15,buy
3998.8,91,102,198,151,-11,sell
3998.7,105,105,219,172,0,flat
3998.6,141,100,246,175,41,buy
3998.5,100,93,197,163,7,buy
3998.4,128,130,260,174,-2,sell
3998.3,123,117,244,188,6,buy
3998.2,98,106,213,162,-8,sell
3998.1,143,115,263,182,28,buy
3998.0,238,266,516,268,-28,sell
3997.9,149,103,259,189,46,buy
3997.8,127,111,245,188,16,buy
3997.7,135,125,264,205,10,buy
3997.6,116,105,224,187,11,buy
3997.5,121,123,246,198,-2,sell
3997.4,129,115,245,181,14,buy
3997.3,116,170,289,167,-54,sell
3997.2,114,124,244,166,-10,sell
3997.1,128,136,266,199,-8,sell
3997.0,166,197,365,247,-31,sell
3996.9,136,115,253,174,21,buy
3996.8,118,112,232,179,6,buy
3996.7,108,126,238,181,-18,sell
3996.6,168,128,301,209,40,buy
3996.5,152,174,335,214,-22,sell
3996.4,113,127,246,200,-14,sell
3996.3,108,111,223,174,-3,sell
3996.2,111,139,257,190,-28,sell
3996.1,87,137,230,158,-50,sell
3996.0,161,193,362,214,-32,sell
